"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q9JMK2","CK1E","Csnk1e","1","0.132","0.346","0.382","0.702","0.857"
"Q5EG47","AMPKA1","Prkaa1","9","0.054","0.148","0.366","0.715","0.859"
"Q8BK63","CK1A","Csnk1a1","2","-0.114","0.316","-0.362","0.717","0.859"
"Q9Z1W9","STLK3","Stk39","1","-0.167","0.52","-0.321","0.749","0.888"
"P05132","PKACA","Prkaca","49","-0.023","0.082","-0.279","0.780","0.917"
"P70268","PKN1","Pkn1","4","-0.029","0.129","-0.223","0.823","0.959"
"O54784","DAPK3","Dapk3","3","0.042","0.203","0.208","0.835","0.964"
"Q61831","JNK3","Mapk10","4","-0.019","0.111","-0.169","0.865","0.968"
"P47810","Wee1","Wee1","1","-0.033","0.212","-0.156","0.876","0.968"
"P70424","HER2","Erbb2","1","-0.033","0.212","-0.156","0.876","0.968"
"Q66JT0","WEE1B","Wee2","1","-0.033","0.212","-0.156","0.876","0.968"
"Q8BTW9","PAK4","Pak4","3","-0.042","0.271","-0.153","0.878","0.968"
"O08911","P38G","Mapk12","2","-0.024","0.164","-0.146","0.884","0.968"
"Q05512","MARK2","Mark2","1","-0.131","1","-0.131","0.896","0.972"
"P97477","AurA","Aurka","1","-0.028","0.259","-0.107","0.915","0.985"
"Q02956","PKCZ","Prkcz","5","0.009","0.114","0.08","0.936","0.988"
"Q923J1","ChaK1","Trpm7","1","-0.032","0.553","-0.058","0.954","0.988"
"Q6ZQ29","TAO2","Taok2","1","0.026","0.552","0.046","0.963","0.988"
"Q9WVC6","SGK1","Sgk1","4","0.008","0.235","0.032","0.974","0.988"
"Q8BYR2","LATS1","Lats1","1","0.016","0.52","0.03","0.976","0.988"
"O88643","PAK1","Pak1","10","0.003","0.109","0.026","0.979","0.988"
"P97377","CDK2","Cdk2","27","-0.002","0.1","-0.025","0.980","0.988"
"Q02111","PKCT","Prkcq","3","-0.003","0.129","-0.025","0.980","0.988"
"Q8C0P0","MASTL","Mastl","1","-0.004","0.537","-0.007","0.994","0.994"
